name	period	bikes	cluster1	cluster2	num1	trip1	num2	trip2
"5 Ave & E 63 St"	morning	15.84	0	0	430	29.5	492	38.64
"5 Ave & E 63 St"	afternoon	38.39	0	0	430	29.5	492	38.64
"5 Ave & E 63 St"	evening	7.97	0	0	430	29.5	492	38.64
"5 Ave & E 63 St"	night	0.26	0	0	430	29.5	492	38.64
"8 Ave & W 52 St"	morning	35.16	4	2	118	173.67	193	140.11
"8 Ave & W 52 St"	afternoon	54.94	4	2	118	173.67	193	140.11
"8 Ave & W 52 St"	evening	46.39	4	2	118	173.67	193	140.11
"8 Ave & W 52 St"	night	3.32	4	2	118	173.67	193	140.11
"Greenwich St & W Houston St"	morning	56.13	4	2	118	173.67	193	140.11
"Greenwich St & W Houston St"	afternoon	86.23	4	2	118	173.67	193	140.11
"Greenwich St & W Houston St"	evening	48.94	4	2	118	173.67	193	140.11
"Greenwich St & W Houston St"	night	1.94	4	2	118	173.67	193	140.11
"8 Ave & W 33 St"	morning	101.35	2	1	33	292.03	51	267.31
"8 Ave & W 33 St"	afternoon	125.23	2	1	33	292.03	51	267.31
"8 Ave & W 33 St"	evening	101.19	2	1	33	292.03	51	267.31
"8 Ave & W 33 St"	night	8.61	2	1	33	292.03	51	267.31
"E 118 St & 1 Ave"	morning	11.13	0	0	430	29.5	492	38.64
"E 118 St & 1 Ave"	afternoon	5.94	0	0	430	29.5	492	38.64
"E 118 St & 1 Ave"	evening	4.84	0	0	430	29.5	492	38.64
"E 118 St & 1 Ave"	night	0.39	0	0	430	29.5	492	38.64
"South End Ave & Liberty St"	morning	72.35	2	1	33	292.03	51	267.31
"South End Ave & Liberty St"	afternoon	116.84	2	1	33	292.03	51	267.31
"South End Ave & Liberty St"	evening	66.68	2	1	33	292.03	51	267.31
"South End Ave & Liberty St"	night	2.97	2	1	33	292.03	51	267.31
"Graham Ave & Conselyea St"	morning	24.0	1	0	184	94.58	492	38.64
"Graham Ave & Conselyea St"	afternoon	22.65	1	0	184	94.58	492	38.64
"Graham Ave & Conselyea St"	evening	27.0	1	0	184	94.58	492	38.64
"Graham Ave & Conselyea St"	night	1.81	1	0	184	94.58	492	38.64
"W 82 St & Central Park West"	morning	43.16	1	2	184	94.58	193	140.11
"W 82 St & Central Park West"	afternoon	34.65	1	2	184	94.58	193	140.11
"W 82 St & Central Park West"	evening	18.68	1	2	184	94.58	193	140.11
"W 82 St & Central Park West"	night	0.68	1	2	184	94.58	193	140.11
"Carmine St & 6 Ave"	morning	67.48	2	1	33	292.03	51	267.31
"Carmine St & 6 Ave"	afternoon	101.0	2	1	33	292.03	51	267.31
"Carmine St & 6 Ave"	evening	96.65	2	1	33	292.03	51	267.31
"Carmine St & 6 Ave"	night	10.06	2	1	33	292.03	51	267.31
